"Registro ANS";"CNPJ";"Razão Social";"Nome Fantasia";"Modalidade";"Logradouro";"Número";"Complemento";"Bairro";"Cidade";"UF";"CEP";"DDD";"Telefone";"Fax";"Endereço eletrônico";"Representante";"Cargo Representante";"Data Registro ANS"
"358410";"50949528000180";"ASTRA S/A INDUSTRIA E COMERCIO";"ASTRA S/A INDUSTRIA E COMERCIO";"Autogestão";"RUA COLÉGIO FLORENCE";"59";"";"JARDIM PRIMAVERA";"Jundiaí";"SP";"13209700";"11";"45837777";"";"joao.storarri@astra-sa.com";"JOAQUIM LUCAS SARTORI COELHO";"DIRETOR COMERCIAL";"21/12/1998"
"336874";"15245079000198";"ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS";"ATEMDE ODONTO";"Odontologia de Grupo";"RUA RUI BARBOSA";"120";"ED. REAL SALA 202";"CENTRO";"Simões Filho";"BA";"43700000";"71";"34832700";"34832711";"contabilidade@atemde.com.br";"ANTÔNIO CLEITON VIEIRA GURGEL";"DIRETOR PRESIDENTE E ADMINISTR";"17/12/1998"
"422151";"34732056000152";"ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA";"";"Medicina de Grupo";"RUA SETE DE SETEMBRO ";"55";"sala 2303";"CENTRO";"Rio de Janeiro";"RJ";"20050004";"";"";"";"diretoria@planoatitudesaude.com.br";"ELISANGELA SANTOS SOUSA";"REPRESENTANTE JUNTO À ANS";"27/02/2020"
"320510";"69289171000189";"ATÍVIA SERVIÇOS DE SAÚDE S/A";"";"Medicina de Grupo";"AVENIDA PREFEITO JOSÉ CRISTOVÃO AROUCA";"35";"";"JD PEREIRA AMPARO";"Jacareí";"SP";"12327707";"12";"39543954";"39543954";"epan01@ativia.com.br";"GILBERTO ANTONIO DUMALAKAS";"DIRETOR PRESIDENTE";"28/12/1998"
"327417";"59847780000152";"AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA";"AUSTACLINICAS";"Medicina de Grupo";"AVENIDA MURCHID HOMSI";"1275";"";"PARQUE CELESTE";"São José do Rio Preto";"SP";"15013000";"17";"32031414";"";"austaclinicas@austa.com.br";"CLÁUDIO TAFLA";"DIRETOR";"21/12/1998"
"421600";"31207622000119";"A4 ADMINISTRADORA DE BENEFICIOS LTDA";"A4 ADMINISTRADORA DE BENEFICIOS ";"Administradora de Benefícios";"Rua do Rosário";"001";"Sala 401";"CENTRO";"Rio de Janeiro";"RJ";"20041003";"21";"35531692";"";"thiago@unimedicasaude.com";"SERGIO SOUTELINHO DE AMORIM";"ADMINISTRADOR";"29/04/2019"
"418013";"12903235000172";"BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA";"BACCS";"Administradora de Benefícios";"AVENIDA DOM SEVERINO";"2074";"EDIFíCIO JOSé CARVALHO - SALA 104";"FáTIMA";"Teresina";"PI";"64049375";"21";"3231159088324692";"";"JOHNNY@IBOALAN.COM.BR";"ANTÔNIO CARLOS ANTUNES BASTOS";"SÓCIO-ADMINISTRADOR";"20/04/2011"
"346403";"60851615000153";"BARDELLA S/A INDÚSTRIAS MECÂNICAS";"BARDELLA S/A INDUSTRIAS MECANICAS";"Autogestão";"AV. ANTONIO BARDELLA";"525";"";"CUMBICA";"Guarulhos";"SP";"07220902";"11";"24871084";"24871068";"scsousa@bardella.com.br";"SHIE YU FANG";"CHEFE DR DEPARTAMENTO";"27/01/1999"
"421251";"28651058000114";"BARUK ADMINISTRADORA DE BENEFÍCIOS LTDA";"";"Administradora de Benefícios";"AV. SENADOR ÁREA LEÃO";"2185";"TORRE 1, SALAS 701 E 702";"SÃO CRISTÓVÃO";"Teresina";"PI";"64051090";"86";"994528954";"";"kelly.goncalves08@hotmail.com";"KELLY LIMA FONSECA GONÇALVES";"Sócia-Administradora";"29/03/2018"
"422991";"41215349000128";"BAUEN LIFE LTDA.";"BAUEN LIFE";"Administradora de Benefícios";"RUA SÃO PAULO";"41";"SALA 1904 B";"VILA BELMIRO";"Santos";"SP";"11075330";"13";"974210807";"";"ricardo@valdivia.com.br";"JOSE RICARDO VALDIVIA JUNIOR";"Sócio Administrador";"26/08/2021"
"419257";"19240452000179";"BCI ADMINISTRADORA DE BENEFÍCIOS LTDA.";"BCI ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"AVENIDA INDIANóPOLIS";"1597";"1º ANDAR - SALA 02";"BAIRRO INDIANóPOLIS";"São Paulo";"SP";"04063003";"11";"35253600";"";"administrativo@bciadministradora.com.br";"FILIPE RODRIGUES RIBEIRO DA SILVA";"REPRESENTANTE";"22/01/2014"
"419125";"07611953000135";"BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.";"BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.";"Administradora de Benefícios";"AVENIDA NILO PEçANHA";"50";"GRUPO 2215 E 2216";"CENTRO";"Rio de Janeiro";"RJ";"20002210";"21";"22124150";"22206917";"FVIGNOLI@B2SAUDE.COM.BR";"ROBERTO FRANCISCO VIGNOLI NUNES";"DIRETOR PRESIDENTE";"03/10/2013"
"421332";"29138326000161";"BEM BENEFÍCIOS ADMINISTRADORA LTDA";"";"Administradora de Benefícios";"RUA DA QUITANDA";"50";"SALAS 2201, 2202, 2203";"CENTRO";"Rio de Janeiro";"RJ";"20011030";"21";"22245788";"";"elaine.almeida@bembeneficios.com.br";"ELAINE DE ALMEIDA ALVES";"SÓCIA";"19/07/2018"
"420697";"25313773000159";"BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA";"";"Administradora de Benefícios";"RUA FELIPE SCHMIDT";"679";"";"CENTRO";"Florianópolis";"SC";"88010000";"48";"32297123";"";"CONTATO@BEMESTARADM.COM.BR";"SOLANGE APARECIDA KUCHINISKI";"SÓCIA ADMINISTRADORA";"13/01/2017"
"417874";"08192597000125";"BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.";"BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.";"Odontologia de Grupo";"RUA JOSEPHINA MANDOTTI";"88";"";"JARDIM MAIA";"Guarulhos";"SP";"07115080";"11";"23583368";"";"administrativo@bemmaisodonto.com.br";"GILBERTO MAIDA MELLACE JUNIOR";"REPRESENTANTE";"03/02/2011"
"318299";"83506030000100";"BENEFICENCIA CAMILIANA DO SUL";"PLANO DE SAÚDE SÃO CAMILO";"Filantropia";"RUA ATALIPIO MAGARINOS";"318";"";"CENTRO";"Concórdia";"SC";"89700005";"49";"34414900";"34414934";"planosaocamilo@planosaocamilo.com.br";"OSMAR EUGÊNIO PENSO";"REPRESENTANTE JUNTO À ANS";"22/12/1998"
"421189";"22709109000135";"BENEFICÊNCIA SOCIAL BOM SAMARITANO";"HOSPITAL BOM SAMARITANO";"Filantropia";"R. Ranulfo Alvares";"1620";"";"Vila Isa";"Governador Valadares";"MG";"35044220";"33";"21016100";"";"gerenciaadm@hospitalsamaritano.org.br";"ELVIS DEIVIS ANDRADE";"Superintendente Administrativo";"28/06/2018"
"419869";"12380335000161";"BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.";"";"Administradora de Benefícios";"AV. ENGENHEIRO LUIZ CARLOS BERRINI";"105";"10 º ANDAR, SALA 102 B, TORRE 4";"CIDADE MONÇÕES";"São Paulo";"SP";"04571010";"11";"30544799";"";"PRISCILA@HARMONIA.COM.BR";"PRISCILA MARIA LIMA CONDUTA ELIAS";"ADMINISTRADORA";"05/08/2015"
"421324";"29179109000110";"BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA";"BENEVITAE";"Administradora de Benefícios";"AVENIDA CALAMA";"5175";"SALA 205";"FLODOALDO PONTES PINTO";"Porto Velho";"RO";"76820595";"69";"999633038";"";"fagnerferreira@benevitae.com.br";"FAGNER FERREIRA GONÇALVES";"SÓCIO-ADMINISTRADOR";"19/07/2018"
"417718";"11073058000181";"BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA";"BENEVIX ADMINISTRADORA";"Administradora de Benefícios";"RUA PROFESSOR CARLOS DE CARVALHO";"164";"9º ANDAR - CJ 91 e CJ 92";"ITAIM BIBI";"São Paulo";"SP";"04531080";"27";"30227272";"30227270";"FCOSSETTI@BENEVIX.COM.BR";"FLÁVIO NASCIMENTO COSSETTI";"REPRESENTANTE";"03/12/2010"
"366561";"02849393000138";"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.";"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR  LTDA";"Medicina de Grupo";"RUA XV DE NOVEMBRO";"4488";"";"REDENTORA";"São José do Rio Preto";"SP";"15015110";"17";"32146499";"32146499";"bensaude@bensaude.com.br";"TSUGUGO TOMA";"REPRESENTANTE";"18/12/1998"
"420042";"13852392000169";"BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA";"BEST LIFE BENEFÍCIOS";"Administradora de Benefícios";"R. PROF. JOSÉ HORÁCIO MEIRELLES TEIXEIRA";"975";"CONJUNTO 41-PARTE";"MORUMBI";"São Paulo";"SP";"05630130";"11";"37432350";"";"EP@GRUPOEPEA.COM.BR";"ERNANI PARISE";"ADMINISTRADOR";"03/02/2016"
"421766";"32421708000102";"BEST SENIOR OPERADORA DE SAÚDE LTDA";"BEST SENIOR ";"Medicina de Grupo";"AVENIDA SATURNINO DE BRITO ";"1350";"1º PAVIMENTO";"PRAIA DO CONTRA";"Vitória";"ES";"29055540";"27";"998660566";"";"jumarcanedo@gmail.com";"JUMAR CANEDO DE ALMEIDA";"Administrador";"02/09/2019"
"402966";"03123146000112";"BIO SAÚDE SERVIÇOS MÉDICOS LTDA";"BIO SAÚDE";"Medicina de Grupo";"AVENIDA PAULISTA ";"777";"2° ANDAR";"BELA VISTA";"São Paulo";"SP";"01311914";"11";"34693100";"32421800";"ans@intermedica.com.br";"LUIZ CELSO DIAS LOPES";"REPRESENTANTE";"31/03/1999"
"419079";"14674151000130";"BIORAL SISTEMA ODONTOLÓGICO LTDA.";"BIORAL PLANOS DE SAÚDE LTDA";"Odontologia de Grupo";"RUA MATIAS AIRES";"402";"2° ANDAR";"CONSOLAÇÃO";"São Paulo";"SP";"01309020";"11";"45221777";"45221777";"RICARDO@BIORAL.COM.BR";"RICARDO AIUB DE TOLEDO PRADO";"ADMINISTRADOR";"03/10/2013"
"415111";"04299138000194";"BIOVIDA SAÚDE LTDA.";"BIOVIDA SAÚDE";"Medicina de Grupo";"RUA BARÃO DE ITAPETININGA";"151";"2º ANDAR - CONJUNTO 22";"REPÚBLICA";"São Paulo";"SP";"01042001";"11";"35092230";"65217799";"biovidasaude@biovidasaude.com.br";"CARLOS ALBERTO DE ALMEIDA CAMPOS";"ADMINISTRADOR";"16/02/2005"
"422401";"34673588000166";"BIT LIFE BENEFÍCIOS LTDA";"BIT LIFE ";"Administradora de Benefícios";"RUA ÁLVARO DE CARVALHO";"22";"701 A";"CENTRO";"São Paulo";"SP";"01050070";"11";"32592147";"";"falconeseg@gmail.com";"IVO MARCOS FALCONE";"sócio administrador";"13/01/2021"
"421995";"31519109000163";"BLUE MED SAUDE LTDA";"BLUE MED";"Medicina de Grupo";"RUA SETE DE SETEMRBO ";"55";"SALA 2303";"CENTRO";"Rio de Janeiro";"RJ";"20050004";"00";"30038424";"";"pertrelly@soubluemed.com";"IZAIAS ALMEIDA DOS SANTOS";"REPRESENTANTE";"22/05/2020"
"419222";"11962397000119";"BR ADMINISTRADORA DE BENEFÍCIOS LTDA.";"";"Administradora de Benefícios";"RUA ROBERTO SIMONSEN";"94";"";"SÉ";"São Paulo";"SP";"01017020";"11";"21329100";"21329136";"tc-santana@uol.com.br";"TEREZA CRISTINA OLIVEIRA SANTANA";"SÓCIA-ADMINISTRADOR";"18/12/2013"
"421715";"15011651000154";"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A";"";"Medicina de Grupo";"AVENIDA ALPHAVILLE";"779";"17º ANDAR, SALA 1701-PARTE";"DEZOITO DO FORTE EMPRESARIAL/A";"Barueri";"SP";"06472900";"21";"25031076";"25031329";"flavio.bitter@bradescoseguros.com.br";"FLÁVIO BITTER";"Diretor Gerente";"29/04/2019"
"005711";"92693118000160";"BRADESCO SAÚDE S.A.";"BRADESCO SAUDE S.A.";"Seguradora Especializada em Saúde";"AVENIDA RIO DE JANEIRO";"555";"19º ANDAR";"CAJU";"Rio de Janeiro";"RJ";"20931675";"21";"31666000";"25031329";"flavio.bitter@bradescoseguros.com.br";"FLAVIO BITTER ";"Diretor Gerente";"16/12/1998"
"421561";"31596055000130";"BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";"BRASIL ODONTO PLANO DE SAUDE";"Odontologia de Grupo";"Q.603 SUL AVENIDA LO 13";"13";"";"PLANO DIRETOR SUL";"Palmas";"TO";"77016338";"63";"999629224";"";"brasilodonto.adm@gmail.com";"EDUARDO NASCIMENTO DE OLIVEIRA";"SÓCIO-ADMINISTRADOR";"05/04/2019"
"419419";"19962272000109";"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.";"";"Odontologia de Grupo";"AV. MARCOS PENTEADO DE ULHÔA RODRIGUES";"939";"14º PAVIMENTO, PARTE";"TAMBORé";"Barueri";"SP";"06460040";"11";"4878887048786917";"";"LBLANCO@ODONTOPREV.COM.BR";"JOSÉ ROBERTO BORGES PACHECO";"REPRESENTANTE";"27/06/2014"
"419613";"14838567000146";"BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";"BRAZIL DENTAL";"Odontologia de Grupo";"RUA DA CONSOLAÇÃO";"1681";"3º ANDAR - CONJUNTO 31";"CONSOLAÇÃO";"São Paulo";"SP";"01301100";"11";"30176078";"";"cicasimoes@terra.com.br";"CECÍLIA MONTALVÃO SIMÕES";"SóCIA-ADMINISTRADORA";"13/11/2014"
"417238";"01838723000127";"BRF S/A";"BRF - BRASIL FOODS S/A";"Autogestão";"RUA JORGE TZACHEL";"475";"";"FAZENDA";"Itajaí";"SC";"88301600";"41";"34017193";"";"ouvidoria.autogestao@brf.com";"ADRIANA INÊS PIZZOLATO SAUER";"REPRESENTANTE";"09/04/2010"
"415774";"07844436000106";"CABERJ INTEGRAL SAÚDE S.A";"";"Medicina de Grupo";"AVENIDA ERNANI DO AMARAL PEIXOTO";"467";"SALA 1411 - PARTE";"CENTRO";"Niterói";"RJ";"24020073";"21";"25056446";"";"diretoria@caberj.com.br";"HAROLDO AQUINO FILHO";"REPRESENTANTE LEGAL";"26/09/2006"
"416657";"07027515000124";"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL";"CAARF";"Autogestão";"RUA ESPÍRITO SANTO";"616";"SALA 1.210   -  12.ª ANDAR";"CENTRO";"Belo Horizonte";"MG";"30160030";"31";"32499000";"32499003";"SAUDEUNAFISCOMG@TERRA.COM.BR";"FIRMIANO DE SOUZA NETO";"REPRESENTANTE";"14/04/2008"
"327557";"83937631000169";"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC";"CASACARESC";"Autogestão";"Rod Admar Gonzaga";"1347";"SEDE";"ITACORUBI";"Florianópolis";"SC";"88034901";"";"";"";"casacaresc@casacaresc.org.br";"ÚRSULA MARIA LUDWIG MORAES";"GERENTE";"21/12/1998"
"347825";"01052203000194";"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO";"CAURJ";"Autogestão";"AVENIDA VENCESLAU BRAS";"71";"";"BOTAFOGO";"Rio de Janeiro";"RJ";"22290140";"21";"25420708";"25420708";"administracao@caurj.com.br";"MARIA RAQUEL DE ASSIS GOMES ALVES";"PRESIDENTE";"29/01/1999"
"314251";"02172353000102";"CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE";"CAURN";"Autogestão";"AV. SENADOR SALGADO FILHO";"3000";"UFRN - CENTRO DE CONVIVENCIA - SALA 20";"LAGOA NOVA";"Natal";"RN";"59078900";"84";"33113665";"33113667";"caurn@caurn.com.br";"ELIANA MARIA DOS SANTOS";"SUPERINTENDENTE";"29/12/1998"
"352331";"62231527000184";"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO";"CABESP";"Autogestão";"RUA BOA VISTA";"293";"";"CENTRO";"São Paulo";"SP";"01014915";"11";"21851130";"21851283";"relacionamento.ans@cabesp.com.br";"MARIA LUCIA ETTORE DO VALLE";"DIRETORA PRESIDENTE";"22/12/1998"
"414026";"78304672000188";"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU";"CABEFI";"Autogestão";"BR 369, KM 88, RODOVIA MELLO PEIXOTO";"S/N";"";"PARQUE INDUSTRIAL";"Cornélio Procópio";"PR";"86300000";"43";"34011449";"";"convenio@iguacu.com.br";"HAMILTON BAPTISTA JÚNIOR";"DIRETOR GERENTE";"13/07/2001"
"416401";"08097092000181";"CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA";"CASEMBRAPA";"Autogestão";"PARQUE EST. BIOL. - W3 NORTE FINAL";"S/N";"BLOCO A";"ASA NORTE";"Brasília";"DF";"70770901";"61";"34484091";"34484091";"presidencia@casembrapa.org.br";"ALAN AUGUSTO DOS REIS";"PRESIDENTE INTERINO";"30/10/2007"
"324361";"42182170000184";"CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ";"";"Medicina de Grupo";"RUA DO OUVIDOR";"91";"2º, 3º,4º E 5º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20040031";"21";"25056446";"25056439";"diretoria@caberj.com.br";"HAROLDO AQUINO FILHO";"DIRETOR EXECUTIVO GERAL";"21/12/1998"
"316873";"73395469000140";"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE";"CASU/UFMG";"Autogestão";"AV. ANTÔNIO CARLOS";"6627";"LOJA 1 PRAÇA DE SERVIÇOS";"PAMPULHA";"Belo Horizonte";"MG";"31270901";"31";"34997200";"34997200";"casu@casu.com.br";"DIRCEU WAGNER CARVALHO DE SOUZA";"PRESIDENTE DA DIRETORIA EXECUTIVA";"22/12/1998"
"417661";"11996146000155";"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO";"FISCO SAÚDE-PE";"Autogestão";"RUA DA AURORA";"1443";"SALA 1";"SANTO AMARO";"Recife";"PE";"50040090";"81";"31267702";"31267711";"fiscosaude@fiscosaudepe.com.br";"JOELMA HELENA DA ROCHA";"GERENTE DE PRODUTOS";"03/12/2010"
"412295";"03702977000149";"CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC";"CASEC";"Autogestão";"SGAN QD. 601 CONJ. I PARTE";"SALA 215";"ED. MANOEL NOVAES";"ASA NORTE";"Brasília";"DF";"70830019";"61";"33236995";"32231848";"casec@codevasf.gov.br";"SELMA FERNANDES RODRIGUES";"PRESIDENTE";"18/09/2000"
"421341";"04574626000162";"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL";"UNISAÚDEMS ";"Autogestão";"RUA ABRÃO JÚLIO RAHE";"1440";"";"VILA SILVIA";"Campo Grande";"MS";"79020190";"";"";"";"regulacao@unisaudems.org.br";"ZENILDO PEREIRA DANTAS";"DIRETOR PRESIDENTE";"17/07/2018"
"419851";"21205801000163";"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE";"SINTIMMMEB SAÚDE";"Autogestão";"RUA JOÃO BAUER";"75";"";"CENTRO";"Brusque";"SC";"88350101";"47";"32515900";"";"atendimento@sintimmmebsaude.com.br";"EDUARDO DE SOUZA";"PRESIDENTE";"29/07/2015"
"418820";"27085968000114";"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO";"CAMARJ";"Autogestão";"RUA DO CARMO";"7";"2º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20011020";"21";"25335995";"";"CAMARJ@CAMARJ.COM.BR";"SUYAN DOS SANTOS LIBERATORI";"DIRETOR PRESIDENTE";"25/03/2013"
"413518";"04197511000104";"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND";"CASSIND";"Autogestão";"RUA JORNALISTA JOÃO BATISTA DE SANTANA";"1914";"";"COROA DO MEIO";"Aracaju";"SE";"49035430";"79";"32551696";"32553525";"cassind@cassind.com.br";"BALBINO JOSÉ SILVA NETO";"REPRESENTANTE";"09/04/2001"
"321869";"31934805000136";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE";"CEDAE SAÚDE";"Autogestão";"AV. PRESIDENTE VARGAS";"463";"9º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"21071003";"21";"21267154";"22219201";"asreg@cedaesaude.org.br";"JOÃO VIEIRA DA COSTA JUNIOR";"DIRETOR PRESIDENTE";"18/12/1998"
"363855";"37382009000114";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO";"CAESAN";"Autogestão";"AVENIDA C";"576";"QUADRA A-26 - LOTE 11";"JARDIM GOIÁS";"Goiânia";"GO";"74805070";"62";"32677300";"";"caesan@caesan.com.br";"JOSÉ ROGÉRIO DA SILVA";"DIRETOR PRESIDENTE";"22/12/1998"
"307319";"02315431000172";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL";"CABERGS";"Autogestão";"RUA SIQUEIRA CAMPOS";"736";"11 º AND";"CENTRO";"Porto Alegre";"RS";"90010000";"51";"32629184";"32629184";"decio@cabergs.org.br";"DÉCIO EVERALDINO BRAGA";"GERENTE FINANCEIRO ADMINISTRATIVO";"18/12/1998"
"315583";"15215452000168";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB";"CASSEB";"Autogestão";"RUA METODIO COELHO";"133";"CIDADELA";"PARQUE BELA VISTA";"Salvador";"BA";"40279120";"71";"33500500";"33588852";"casseb@casseb.com.br";"PAULO ROBERTO NOLASCO FARIAS";"PRESIDENTE";"30/12/1998"
"335789";"13086566000120";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE";"CASSE";"Autogestão";"RUA OLÍMPIO DE SOUZA CAMPOS JÚNIOR ";"98A";"DISTRITO INDUSTRIAL DE ARACAJU-DIA";"INÁCIO BARBOSA";"Aracaju";"SE";"49042840";"79";"32184339";"";"casses@banese.com.br";"CAROLINA DA SILVA BEZERRA BEIRAL";"PRESIDENTE";"22/12/1998"
"344184";"33601568000117";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME";"CAEME";"Autogestão";"RUA 262";"84";"QUADRA 111 LOTE 10";"SETOR LESTE UNIVERSITÁRIO";"Goiânia";"GO";"74615300";"62";"32066773";"32066767";"caemego@hotmail.com.br";"HAMILTON BENTO DE OLIVEIRA";"REPRESENTANTE";"16/12/1998"
"343331";"28502128000172";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES";"BANESCAIXA";"Autogestão";"AV PRINCESA ISABEL";"574";"10º ANDAR, SL 1001 A 1008";"CENTRO";"Vitória";"ES";"29010931";"27";"33831200";"33831210";"banescaixa@banestes.com.br";"JOVENAL GERA";"SUPERINTENDENTE";"22/12/1998"
"358754";"04204285000133";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF";"";"Autogestão";"AVENIDA GENERALÍSSIMO DEODORO";"1340";"ANDAR 1 e 2";"NAZARÉ";"Belém";"PA";"66035090";"91";"40054300";"32414413";"casf@casf.com.br";"SOFIA LISBOA CARDOSO";"PRESIDENTE";"23/12/1998"
"346659";"33719485000127";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL";"CASSI";"Autogestão";"SIG, Quadra 4, Lote ";"575";"---";"ASA SUL";"Brasília";"DF";"70610910";"61";"32125000";"33106944";"planos@cassi.com.br";"DAYLTON JOSE ATAIDE GOMES";"REPRESENTANTE JUNTO À ANS";"29/12/1998"
"385697";"05814777000103";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL";"CAMED SAÚDE";"Autogestão";"AV SANTOS DUMONT";"782";"";"CENTRO";"Fortaleza";"CE";"60150160";"85";"40087840";"40087884";"camed@camed.com.br";"OCIONE MARQUES MENDONÇA";"DIRETOR PRESIDENTE";"16/12/1998"
"302627";"35617257000171";"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO";"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO";"Autogestão";"RUA COMENDADOR BENTO AGUIAR";"270";"";"MADALENA";"Recife";"PE";"50750390";"81";"34450356";"32277681";"campe@hotlink.com.br";"ARNÓBIO AMORIM ARAÚJO JÚNIOR";"DIRETOR ADMINISTRATIVO";"17/12/1998"
"413534";"04311093000126";"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL";"CASSEMS";"Autogestão";"RUA ANTONIO MARIA COELHO";"6065";"";"VIVENDAS DO BOSQUE";"Campo Grande";"MS";"79021170";"67";"33141054";"33141046";"juridico@cassems.com.br";"RICARDO AYACHE";"PRESIDENTE CONS. ADMINISTRAÇÃO";"16/04/2001"
"359122";"63367700000139";"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS";"CAFAZ";"Autogestão";"AV. FRANCISCO SÁ";"1733";"";"JACARECANGA";"Fortaleza";"CE";"60010450";"85";"31012636";"32385422";"cafaz@cafaz.org.br";"MARIA IVANY GOMES ARAÚJO";"PRESIDENTE";"22/12/1998"
"417548";"03033006000153";"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ";"FIOSAÚDE";"Autogestão";"AV. BRASIL";"4036";"3º ANDAR";"MANGUINHOS";"Rio de Janeiro";"RJ";"21040361";"21";"38650088";"38651805";"fiosaude-ans@fiosaude.org.br";"JOSÉ ANTÔNIO DINIZ DE OLIVEIRA";"REPRESENTANTE";"21/09/2010"
"320820";"00668790000188";"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE";"SSI SAÚDE";"Autogestão";"RUA BENTO GONÇALVES";"2764";"";"SÃO PELEGRINO";"Caxias do Sul";"RS";"95020412";"54";"32238577";"32238577";"regulacao-ssi@randon.com.br";"ROSEMARY ARALDI RODRIGUES PISTORELLO";"REPRESENTANTE";"22/12/1998"
"324477";"30036685000197";"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP";"CAPESESP";"Autogestão";"AVENIDA MARECHAL CÂMARA";"160";"";"CENTRO";"Rio de Janeiro";"RJ";"20020080";"21";"34791200";"22406459";"presidencia@capesesp.com.br";"JOÃO PAULO DOS REIS NETO";"DIRETOR PRESIDENTE";"17/12/1998"
